name,model_size,buffer_type,acc_new,f1_new,precision_new,recall_new,acc_all,f1_all,precision_all,recall_all,acc_base,f1_base,precision_base,recall_base,training_time,buffer_length,buffer_memory
multimodal_bert+bigru_resnet50+MLP,1221.1406345367432,no_buffer,0.86,0.0723981900452488,0.25,0.0453125,0.8966981132075471,0.0921497702610226,0.3577777777777777,0.0609666098136971,0.8081761006289307,0.1355742296918767,0.5750000000000001,0.0875,31.919868052005768,0.0,0.0
standalone_resnet18+MLP,129.54375553131104,limit,0.8571428571428571,0.0,0.0,0.0,1.1031653746770027,0.0886850152905198,0.2222222222222222,0.0809061488673139,0.9728682170542636,0.0929487179487179,0.3333333333333333,0.0833333333333333,5.518081068992615,512.0,1.02734375
standalone_train+bilstm,699.7466259002686,limit,0.8571428571428571,0.0147058823529411,0.125,0.0078125,1.089551282051282,0.0353281334050564,0.3173076923076923,0.0261826689693801,0.9576923076923076,0.0267722473604826,0.4038461538461538,0.0192307692307692,12.573265790939333,512.0,37.52734375
standalone_train+bilstm,699.7466259002686,unlimit,0.8585714285714285,0.0,0.0,0.0,1.0917307692307692,0.0090422822210901,0.1346153846153846,0.0064968814968814,0.9634615384615384,0.0267722473604826,0.4038461538461538,0.0192307692307692,12.572383165359495,2449.25,179.51923179626465
standalone_train+bigru,696.4770946502686,limit,0.86,0.0,0.0,0.0,1.015297619047619,0.00625,0.1830357142857142,0.0034877232142857,0.8946428571428571,0.0159313725490196,0.3660714285714285,0.0089285714285714,12.490643978118896,512.0,37.52734375
standalone_resnet18+MLP,129.54375553131104,no_buffer,0.8585714285714285,0.0,0.0,0.0,1.101227390180879,0.0,0.0,0.0,0.9689922480620156,0.0,0.0,0.0,5.197788715362549,0.0,0.0
standalone_resnet18+MLP,129.54375553131104,remind,0.86,0.0,0.0,0.0,1.10187338501292,0.0,0.0,0.0,0.9689922480620156,0.0,0.0,0.0,6.792653560638428,512.0,0.5430221557617188
standalone_resnet50+MLP,275.47835063934326,no_buffer,0.86,0.0,0.0,0.0,1.10187338501292,0.0,0.0,0.0,0.9689922480620156,0.0,0.0,0.0,9.017261743545532,0.0,0.0
standalone_train+bilstm,699.7466259002686,remind,0.86,0.0,0.0,0.0,1.093397435897436,0.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,17.729002833366394,512.0,18.79302215576172
standalone_train+textcnn,687.6480493545532,limit,0.86,0.0,0.0,0.0,0.9870949074074074,0.0,0.0,0.0,0.8680555555555556,0.0,0.0,0.0,4.952193439006805,512.0,37.52734375
standalone_train+textcnn,687.6480493545532,no_buffer,0.86,0.0,0.0,0.0,0.9870949074074074,0.0,0.0,0.0,0.8680555555555556,0.0,0.0,0.0,2.369864106178284,0.0,0.0
standalone_train+textcnn,687.6480493545532,remind,0.86,0.0,0.0,0.0,0.9870949074074074,0.0,0.0,0.0,0.8680555555555556,0.0,0.0,0.0,9.79734492301941,512.0,18.79302215576172
standalone_train+textcnn,687.6480493545532,unlimit,0.86,0.0,0.0,0.0,0.9870949074074074,0.0,0.0,0.0,0.8680555555555556,0.0,0.0,0.0,5.188406050205231,2449.25,179.51923179626465
